OBJECTID,landcoversEastClassifications,thumbUrl,DownloadThumbPicture,EastOriginalUrl,DownloadOriginalPicture
73,"10% MUC 92 [Urban, Commercial Property]; 70% MUC 91 [Urban, Residential Property]; 20% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1704782/thumb.jpg,golc_thumb_2020_06_22_1704782,https://data.globe.gov/system/photos/2020/06/22/1704782/original.jpg,golc_2020_06_22_1704782
74,"10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 50% MUC 93 [Urban, Roads and Parking]; 50% MUC 92 [Urban, Commercial Property]",https://data.globe.gov/system/photos/2020/06/22/1704789/thumb.jpg,golc_thumb_2020_06_22_1704789,https://data.globe.gov/system/photos/2020/06/22/1704789/original.jpg,golc_2020_06_22_1704789
75,null,https://data.globe.gov/system/photos/2020/06/22/1704853/thumb.jpg,golc_thumb_2020_06_22_1704853,https://data.globe.gov/system/photos/2020/06/22/1704853/original.jpg,golc_2020_06_22_1704853
76,"20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 30% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 50% MUC 93 [Urban, Roads and Parking]; 50% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/13/1705053/thumb.jpg,golc_thumb_2020_06_13_1705053,https://data.globe.gov/system/photos/2020/06/13/1705053/original.jpg,golc_2020_06_13_1705053
77,"50% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 100% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706089/thumb.jpg,golc_thumb_2020_06_22_1706089,https://data.globe.gov/system/photos/2020/06/22/1706089/original.jpg,golc_2020_06_22_1706089
78,"30% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706095/thumb.jpg,golc_thumb_2020_06_22_1706095,https://data.globe.gov/system/photos/2020/06/22/1706095/original.jpg,golc_2020_06_22_1706095
79,null,https://data.globe.gov/system/photos/2020/06/22/1706143/thumb.jpg,golc_thumb_2020_06_22_1706143,https://data.globe.gov/system/photos/2020/06/22/1706143/original.jpg,golc_2020_06_22_1706143
80,null,https://data.globe.gov/system/photos/2020/06/22/1706149/thumb.jpg,golc_thumb_2020_06_22_1706149,https://data.globe.gov/system/photos/2020/06/22/1706149/original.jpg,golc_2020_06_22_1706149
81,null,https://data.globe.gov/system/photos/2020/06/22/1706155/thumb.jpg,golc_thumb_2020_06_22_1706155,https://data.globe.gov/system/photos/2020/06/22/1706155/original.jpg,golc_2020_06_22_1706155
82,null,https://data.globe.gov/system/photos/2020/06/22/1706161/thumb.jpg,golc_thumb_2020_06_22_1706161,https://data.globe.gov/system/photos/2020/06/22/1706161/original.jpg,golc_2020_06_22_1706161
