OBJECTID,landcoversWestClassifications,thumbUrl,DownloadThumbPicture,WestOriginalUrl,DownloadOriginalPicture
38,null,https://data.globe.gov/system/photos/2020/06/21/1703054/thumb.jpg,golc_thumb_2020_06_21_1703054,https://data.globe.gov/system/photos/2020/06/21/1703054/original.jpg,golc_2020_06_21_1703054
39,null,https://data.globe.gov/system/photos/2020/06/21/1703178/thumb.jpg,golc_thumb_2020_06_21_1703178,https://data.globe.gov/system/photos/2020/06/21/1703178/original.jpg,golc_2020_06_21_1703178
40,null,https://data.globe.gov/system/photos/2020/06/21/1703083/thumb.jpg,golc_thumb_2020_06_21_1703083,https://data.globe.gov/system/photos/2020/06/21/1703083/original.jpg,golc_2020_06_21_1703083
41,null,https://data.globe.gov/system/photos/2020/06/21/1703185/thumb.jpg,golc_thumb_2020_06_21_1703185,https://data.globe.gov/system/photos/2020/06/21/1703185/original.jpg,golc_2020_06_21_1703185
42,null,https://data.globe.gov/system/photos/2020/06/21/1703196/thumb.jpg,golc_thumb_2020_06_21_1703196,https://data.globe.gov/system/photos/2020/06/21/1703196/original.jpg,golc_2020_06_21_1703196
43,null,https://data.globe.gov/system/photos/2020/06/21/1703478/thumb.jpg,golc_thumb_2020_06_21_1703478,https://data.globe.gov/system/photos/2020/06/21/1703478/original.jpg,golc_2020_06_21_1703478
44,null,https://data.globe.gov/system/photos/2020/06/21/1703329/thumb.jpg,golc_thumb_2020_06_21_1703329,https://data.globe.gov/system/photos/2020/06/21/1703329/original.jpg,golc_2020_06_21_1703329
45,null,https://data.globe.gov/system/photos/2020/06/21/1703352/thumb.jpg,golc_thumb_2020_06_21_1703352,https://data.globe.gov/system/photos/2020/06/21/1703352/original.jpg,golc_2020_06_21_1703352
46,null,https://data.globe.gov/system/photos/2020/06/21/1703358/thumb.jpg,golc_thumb_2020_06_21_1703358,https://data.globe.gov/system/photos/2020/06/21/1703358/original.jpg,golc_2020_06_21_1703358
47,null,https://data.globe.gov/system/photos/2020/06/21/1703382/thumb.jpg,golc_thumb_2020_06_21_1703382,https://data.globe.gov/system/photos/2020/06/21/1703382/original.jpg,golc_2020_06_21_1703382
48,null,https://data.globe.gov/system/photos/2020/06/21/1703388/thumb.jpg,golc_thumb_2020_06_21_1703388,https://data.globe.gov/system/photos/2020/06/21/1703388/original.jpg,golc_2020_06_21_1703388
49,null,https://data.globe.gov/system/photos/2020/06/21/1703400/thumb.jpg,golc_thumb_2020_06_21_1703400,https://data.globe.gov/system/photos/2020/06/21/1703400/original.jpg,golc_2020_06_21_1703400
50,null,https://data.globe.gov/system/photos/2020/06/21/1703406/thumb.jpg,golc_thumb_2020_06_21_1703406,https://data.globe.gov/system/photos/2020/06/21/1703406/original.jpg,golc_2020_06_21_1703406
51,null,https://data.globe.gov/system/photos/2020/06/21/1703424/thumb.jpg,golc_thumb_2020_06_21_1703424,https://data.globe.gov/system/photos/2020/06/21/1703424/original.jpg,golc_2020_06_21_1703424
52,null,https://data.globe.gov/system/photos/2020/06/21/1704104/thumb.jpg,golc_thumb_2020_06_21_1704104,https://data.globe.gov/system/photos/2020/06/21/1704104/original.jpg,golc_2020_06_21_1704104
53,null,https://data.globe.gov/system/photos/2020/06/21/1704122/thumb.jpg,golc_thumb_2020_06_21_1704122,https://data.globe.gov/system/photos/2020/06/21/1704122/original.jpg,golc_2020_06_21_1704122
54,null,https://data.globe.gov/system/photos/2020/06/21/1704128/thumb.jpg,golc_thumb_2020_06_21_1704128,https://data.globe.gov/system/photos/2020/06/21/1704128/original.jpg,golc_2020_06_21_1704128
55,null,https://data.globe.gov/system/photos/2020/06/21/1704134/thumb.jpg,golc_thumb_2020_06_21_1704134,https://data.globe.gov/system/photos/2020/06/21/1704134/original.jpg,golc_2020_06_21_1704134
56,null,https://data.globe.gov/system/photos/2020/06/21/1704140/thumb.jpg,golc_thumb_2020_06_21_1704140,https://data.globe.gov/system/photos/2020/06/21/1704140/original.jpg,golc_2020_06_21_1704140
57,null,https://data.globe.gov/system/photos/2020/06/21/1704152/thumb.jpg,golc_thumb_2020_06_21_1704152,https://data.globe.gov/system/photos/2020/06/21/1704152/original.jpg,golc_2020_06_21_1704152
58,null,null,null,null,null
59,null,https://data.globe.gov/system/photos/2020/06/21/1704617/thumb.jpg,golc_thumb_2020_06_21_1704617,https://data.globe.gov/system/photos/2020/06/21/1704617/original.jpg,golc_2020_06_21_1704617
60,null,https://data.globe.gov/system/photos/2020/06/21/1704653/thumb.jpg,golc_thumb_2020_06_21_1704653,https://data.globe.gov/system/photos/2020/06/21/1704653/original.jpg,golc_2020_06_21_1704653
61,"90% MUC 92 [Urban, Commercial Property]",https://data.globe.gov/system/photos/2020/06/13/1704632/thumb.jpg,golc_thumb_2020_06_13_1704632,https://data.globe.gov/system/photos/2020/06/13/1704632/original.jpg,golc_2020_06_13_1704632
62,null,https://data.globe.gov/system/photos/2020/06/21/1704647/thumb.jpg,golc_thumb_2020_06_21_1704647,https://data.globe.gov/system/photos/2020/06/21/1704647/original.jpg,golc_2020_06_21_1704647
63,null,https://data.globe.gov/system/photos/2020/06/21/1704659/thumb.jpg,golc_thumb_2020_06_21_1704659,https://data.globe.gov/system/photos/2020/06/21/1704659/original.jpg,golc_2020_06_21_1704659
64,null,https://data.globe.gov/system/photos/2020/06/21/1704665/thumb.jpg,golc_thumb_2020_06_21_1704665,https://data.globe.gov/system/photos/2020/06/21/1704665/original.jpg,golc_2020_06_21_1704665
65,null,https://data.globe.gov/system/photos/2020/06/19/1704676/thumb.jpg,golc_thumb_2020_06_19_1704676,https://data.globe.gov/system/photos/2020/06/19/1704676/original.jpg,golc_2020_06_19_1704676
66,null,https://data.globe.gov/system/photos/2020/06/19/1704682/thumb.jpg,golc_thumb_2020_06_19_1704682,https://data.globe.gov/system/photos/2020/06/19/1704682/original.jpg,golc_2020_06_19_1704682
67,null,https://data.globe.gov/system/photos/2020/06/20/1704689/thumb.jpg,golc_thumb_2020_06_20_1704689,https://data.globe.gov/system/photos/2020/06/20/1704689/original.jpg,golc_2020_06_20_1704689
68,null,https://data.globe.gov/system/photos/2020/06/21/1704725/thumb.jpg,golc_thumb_2020_06_21_1704725,https://data.globe.gov/system/photos/2020/06/21/1704725/original.jpg,golc_2020_06_21_1704725
69,null,https://data.globe.gov/system/photos/2020/06/21/1704731/thumb.jpg,golc_thumb_2020_06_21_1704731,https://data.globe.gov/system/photos/2020/06/21/1704731/original.jpg,golc_2020_06_21_1704731
70,null,https://data.globe.gov/system/photos/2020/06/21/1704755/thumb.jpg,golc_thumb_2020_06_21_1704755,https://data.globe.gov/system/photos/2020/06/21/1704755/original.jpg,golc_2020_06_21_1704755
71,null,https://data.globe.gov/system/photos/2020/06/21/1704749/thumb.jpg,golc_thumb_2020_06_21_1704749,https://data.globe.gov/system/photos/2020/06/21/1704749/original.jpg,golc_2020_06_21_1704749
72,null,https://data.globe.gov/system/photos/2020/06/21/1704761/thumb.jpg,golc_thumb_2020_06_21_1704761,https://data.globe.gov/system/photos/2020/06/21/1704761/original.jpg,golc_2020_06_21_1704761
73,"100% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1704785/thumb.jpg,golc_thumb_2020_06_22_1704785,https://data.globe.gov/system/photos/2020/06/22/1704785/original.jpg,golc_2020_06_22_1704785
74,"50% MUC 93 [Urban, Roads and Parking]; 50% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/22/1704791/thumb.jpg,golc_thumb_2020_06_22_1704791,https://data.globe.gov/system/photos/2020/06/22/1704791/original.jpg,golc_2020_06_22_1704791
75,null,https://data.globe.gov/system/photos/2020/06/22/1704855/thumb.jpg,golc_thumb_2020_06_22_1704855,https://data.globe.gov/system/photos/2020/06/22/1704855/original.jpg,golc_2020_06_22_1704855
76,"30% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 20% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 60% MUC 93 [Urban, Roads and Parking]; 70% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/13/1705055/thumb.jpg,golc_thumb_2020_06_13_1705055,https://data.globe.gov/system/photos/2020/06/13/1705055/original.jpg,golc_2020_06_13_1705055
77,"50% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 100% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706091/thumb.jpg,golc_thumb_2020_06_22_1706091,https://data.globe.gov/system/photos/2020/06/22/1706091/original.jpg,golc_2020_06_22_1706091
78,"30% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706097/thumb.jpg,golc_thumb_2020_06_22_1706097,https://data.globe.gov/system/photos/2020/06/22/1706097/original.jpg,golc_2020_06_22_1706097
79,null,https://data.globe.gov/system/photos/2020/06/22/1706145/thumb.jpg,golc_thumb_2020_06_22_1706145,https://data.globe.gov/system/photos/2020/06/22/1706145/original.jpg,golc_2020_06_22_1706145
80,null,https://data.globe.gov/system/photos/2020/06/22/1706151/thumb.jpg,golc_thumb_2020_06_22_1706151,https://data.globe.gov/system/photos/2020/06/22/1706151/original.jpg,golc_2020_06_22_1706151
81,null,https://data.globe.gov/system/photos/2020/06/22/1706157/thumb.jpg,golc_thumb_2020_06_22_1706157,https://data.globe.gov/system/photos/2020/06/22/1706157/original.jpg,golc_2020_06_22_1706157
82,null,https://data.globe.gov/system/photos/2020/06/22/1706163/thumb.jpg,golc_thumb_2020_06_22_1706163,https://data.globe.gov/system/photos/2020/06/22/1706163/original.jpg,golc_2020_06_22_1706163
83,null,null,null,null,null
84,null,https://data.globe.gov/system/photos/2020/06/22/1706180/thumb.jpg,golc_thumb_2020_06_22_1706180,https://data.globe.gov/system/photos/2020/06/22/1706180/original.jpg,golc_2020_06_22_1706180
85,null,https://data.globe.gov/system/photos/2020/06/22/1706186/thumb.jpg,golc_thumb_2020_06_22_1706186,https://data.globe.gov/system/photos/2020/06/22/1706186/original.jpg,golc_2020_06_22_1706186
86,null,https://data.globe.gov/system/photos/2020/06/22/1709829/thumb.jpg,golc_thumb_2020_06_22_1709829,https://data.globe.gov/system/photos/2020/06/22/1709829/original.jpg,golc_2020_06_22_1709829
87,null,https://data.globe.gov/system/photos/2020/06/22/1709833/thumb.jpg,golc_thumb_2020_06_22_1709833,https://data.globe.gov/system/photos/2020/06/22/1709833/original.jpg,golc_2020_06_22_1709833
88,null,https://data.globe.gov/system/photos/2020/06/22/1709846/thumb.jpg,golc_thumb_2020_06_22_1709846,https://data.globe.gov/system/photos/2020/06/22/1709846/original.jpg,golc_2020_06_22_1709846
89,null,null,null,null,null
90,null,https://data.globe.gov/system/photos/2020/06/22/1752452/thumb.jpg,golc_thumb_2020_06_22_1752452,https://data.globe.gov/system/photos/2020/06/22/1752452/original.jpg,golc_2020_06_22_1752452
91,null,https://data.globe.gov/system/photos/2020/06/22/1709878/thumb.jpg,golc_thumb_2020_06_22_1709878,https://data.globe.gov/system/photos/2020/06/22/1709878/original.jpg,golc_2020_06_22_1709878
92,null,https://data.globe.gov/system/photos/2020/06/22/1706469/thumb.jpg,golc_thumb_2020_06_22_1706469,https://data.globe.gov/system/photos/2020/06/22/1706469/original.jpg,golc_2020_06_22_1706469
93,null,https://data.globe.gov/system/photos/2020/06/21/1706492/thumb.jpg,golc_thumb_2020_06_21_1706492,https://data.globe.gov/system/photos/2020/06/21/1706492/original.jpg,golc_2020_06_21_1706492
94,null,https://data.globe.gov/system/photos/2020/06/22/1706487/thumb.jpg,golc_thumb_2020_06_22_1706487,https://data.globe.gov/system/photos/2020/06/22/1706487/original.jpg,golc_2020_06_22_1706487
95,null,https://data.globe.gov/system/photos/2020/06/22/1706498/thumb.jpg,golc_thumb_2020_06_22_1706498,https://data.globe.gov/system/photos/2020/06/22/1706498/original.jpg,golc_2020_06_22_1706498
