OBJECTID,landcoversNorthClassifications,thumbUrl,DownloadThumbPicture,NorthOriginalUrl,DownloadOriginalPicture
66,null,https://data.globe.gov/system/photos/2020/06/19/1704679/thumb.jpg,golc_thumb_2020_06_19_1704679,https://data.globe.gov/system/photos/2020/06/19/1704679/original.jpg,golc_2020_06_19_1704679
67,null,https://data.globe.gov/system/photos/2020/06/20/1704686/thumb.jpg,golc_thumb_2020_06_20_1704686,https://data.globe.gov/system/photos/2020/06/20/1704686/original.jpg,golc_2020_06_20_1704686
68,null,https://data.globe.gov/system/photos/2020/06/21/1704722/thumb.jpg,golc_thumb_2020_06_21_1704722,https://data.globe.gov/system/photos/2020/06/21/1704722/original.jpg,golc_2020_06_21_1704722
69,null,https://data.globe.gov/system/photos/2020/06/21/1704728/thumb.jpg,golc_thumb_2020_06_21_1704728,https://data.globe.gov/system/photos/2020/06/21/1704728/original.jpg,golc_2020_06_21_1704728
70,null,https://data.globe.gov/system/photos/2020/06/21/1704752/thumb.jpg,golc_thumb_2020_06_21_1704752,https://data.globe.gov/system/photos/2020/06/21/1704752/original.jpg,golc_2020_06_21_1704752
71,null,https://data.globe.gov/system/photos/2020/06/21/1704746/thumb.jpg,golc_thumb_2020_06_21_1704746,https://data.globe.gov/system/photos/2020/06/21/1704746/original.jpg,golc_2020_06_21_1704746
72,null,https://data.globe.gov/system/photos/2020/06/21/1704758/thumb.jpg,golc_thumb_2020_06_21_1704758,https://data.globe.gov/system/photos/2020/06/21/1704758/original.jpg,golc_2020_06_21_1704758
73,"10% MUC 92 [Urban, Commercial Property]; 70% MUC 91 [Urban, Residential Property]; 20% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1704781/thumb.jpg,golc_thumb_2020_06_22_1704781,https://data.globe.gov/system/photos/2020/06/22/1704781/original.jpg,golc_2020_06_22_1704781
74,"10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 60% MUC 93 [Urban, Roads and Parking]; 30% MUC 92 [Urban, Commercial Property]; 10% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/22/1704788/thumb.jpg,golc_thumb_2020_06_22_1704788,https://data.globe.gov/system/photos/2020/06/22/1704788/original.jpg,golc_2020_06_22_1704788
75,null,https://data.globe.gov/system/photos/2020/06/22/1704852/thumb.jpg,golc_thumb_2020_06_22_1704852,https://data.globe.gov/system/photos/2020/06/22/1704852/original.jpg,golc_2020_06_22_1704852
76,"20% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 50% MUC 93 [Urban, Roads and Parking]; 50% MUC 92 [Urban, Commercial Property]",https://data.globe.gov/system/photos/2020/06/13/1705052/thumb.jpg,golc_thumb_2020_06_13_1705052,https://data.globe.gov/system/photos/2020/06/13/1705052/original.jpg,golc_2020_06_13_1705052
77,"50% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 100% MUC 43 [Herbaceous/Grassland, Short Grass]; 30% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706088/thumb.jpg,golc_thumb_2020_06_22_1706088,https://data.globe.gov/system/photos/2020/06/22/1706088/original.jpg,golc_2020_06_22_1706088
78,"30% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706094/thumb.jpg,golc_thumb_2020_06_22_1706094,https://data.globe.gov/system/photos/2020/06/22/1706094/original.jpg,golc_2020_06_22_1706094
79,null,https://data.globe.gov/system/photos/2020/06/22/1706142/thumb.jpg,golc_thumb_2020_06_22_1706142,https://data.globe.gov/system/photos/2020/06/22/1706142/original.jpg,golc_2020_06_22_1706142
