OBJECTID,landcoversSouthClassifications,thumbUrl,DownloadThumbPicture,SouthOriginalUrl,DownloadOriginalPicture
64,null,https://data.globe.gov/system/photos/2020/06/21/1704664/thumb.jpg,golc_thumb_2020_06_21_1704664,https://data.globe.gov/system/photos/2020/06/21/1704664/original.jpg,golc_2020_06_21_1704664
65,null,https://data.globe.gov/system/photos/2020/06/19/1704675/thumb.jpg,golc_thumb_2020_06_19_1704675,https://data.globe.gov/system/photos/2020/06/19/1704675/original.jpg,golc_2020_06_19_1704675
66,null,https://data.globe.gov/system/photos/2020/06/19/1704681/thumb.jpg,golc_thumb_2020_06_19_1704681,https://data.globe.gov/system/photos/2020/06/19/1704681/original.jpg,golc_2020_06_19_1704681
67,null,https://data.globe.gov/system/photos/2020/06/20/1704688/thumb.jpg,golc_thumb_2020_06_20_1704688,https://data.globe.gov/system/photos/2020/06/20/1704688/original.jpg,golc_2020_06_20_1704688
68,null,https://data.globe.gov/system/photos/2020/06/21/1704724/thumb.jpg,golc_thumb_2020_06_21_1704724,https://data.globe.gov/system/photos/2020/06/21/1704724/original.jpg,golc_2020_06_21_1704724
69,null,https://data.globe.gov/system/photos/2020/06/21/1704730/thumb.jpg,golc_thumb_2020_06_21_1704730,https://data.globe.gov/system/photos/2020/06/21/1704730/original.jpg,golc_2020_06_21_1704730
70,null,https://data.globe.gov/system/photos/2020/06/21/1704754/thumb.jpg,golc_thumb_2020_06_21_1704754,https://data.globe.gov/system/photos/2020/06/21/1704754/original.jpg,golc_2020_06_21_1704754
71,null,https://data.globe.gov/system/photos/2020/06/21/1704748/thumb.jpg,golc_thumb_2020_06_21_1704748,https://data.globe.gov/system/photos/2020/06/21/1704748/original.jpg,golc_2020_06_21_1704748
72,null,https://data.globe.gov/system/photos/2020/06/21/1704760/thumb.jpg,golc_thumb_2020_06_21_1704760,https://data.globe.gov/system/photos/2020/06/21/1704760/original.jpg,golc_2020_06_21_1704760
73,"50% MUC 92 [Urban, Commercial Property]; 10% MUC 91 [Urban, Residential Property]; 40% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1704783/thumb.jpg,golc_thumb_2020_06_22_1704783,https://data.globe.gov/system/photos/2020/06/22/1704783/original.jpg,golc_2020_06_22_1704783
74,"10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 60% MUC 93 [Urban, Roads and Parking]; 40% MUC 92 [Urban, Commercial Property]",https://data.globe.gov/system/photos/2020/06/22/1704790/thumb.jpg,golc_thumb_2020_06_22_1704790,https://data.globe.gov/system/photos/2020/06/22/1704790/original.jpg,golc_2020_06_22_1704790
75,null,https://data.globe.gov/system/photos/2020/06/22/1704854/thumb.jpg,golc_thumb_2020_06_22_1704854,https://data.globe.gov/system/photos/2020/06/22/1704854/original.jpg,golc_2020_06_22_1704854
76,"70% MUC 91 [Urban, Residential Property]; 10% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]",https://data.globe.gov/system/photos/2020/06/13/1705054/thumb.jpg,golc_thumb_2020_06_13_1705054,https://data.globe.gov/system/photos/2020/06/13/1705054/original.jpg,golc_2020_06_13_1705054
77,"50% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 100% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706090/thumb.jpg,golc_thumb_2020_06_22_1706090,https://data.globe.gov/system/photos/2020/06/22/1706090/original.jpg,golc_2020_06_22_1706090
78,"30% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 60% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 71 [Open Water, Freshwater]",https://data.globe.gov/system/photos/2020/06/22/1706096/thumb.jpg,golc_thumb_2020_06_22_1706096,https://data.globe.gov/system/photos/2020/06/22/1706096/original.jpg,golc_2020_06_22_1706096
79,null,https://data.globe.gov/system/photos/2020/06/22/1706144/thumb.jpg,golc_thumb_2020_06_22_1706144,https://data.globe.gov/system/photos/2020/06/22/1706144/original.jpg,golc_2020_06_22_1706144
80,null,https://data.globe.gov/system/photos/2020/06/22/1706150/thumb.jpg,golc_thumb_2020_06_22_1706150,https://data.globe.gov/system/photos/2020/06/22/1706150/original.jpg,golc_2020_06_22_1706150
81,null,https://data.globe.gov/system/photos/2020/06/22/1706156/thumb.jpg,golc_thumb_2020_06_22_1706156,https://data.globe.gov/system/photos/2020/06/22/1706156/original.jpg,golc_2020_06_22_1706156
82,null,https://data.globe.gov/system/photos/2020/06/22/1706162/thumb.jpg,golc_thumb_2020_06_22_1706162,https://data.globe.gov/system/photos/2020/06/22/1706162/original.jpg,golc_2020_06_22_1706162
83,null,https://data.globe.gov/system/photos/2020/06/22/1706168/thumb.jpg,golc_thumb_2020_06_22_1706168,https://data.globe.gov/system/photos/2020/06/22/1706168/original.jpg,golc_2020_06_22_1706168
